2MASS J1645-4521       ;Sco  ;16 45 44.6 -45 21 51 ;IR   ;EC?  ;    1.30;      ;       ;                                                       ;
Camargo 168            ;Mon  ;06 59 58.0 -04 46 54 ;Op   ;OC?  ;    8.00;      ;       ;                                                       ;
Camargo 169            ;Mon  ;07 00 24.0 -05 22 42 ;IR   ;OC?  ;    5.50;      ;       ;                                                       ;
Camargo 171            ;Mon  ;06 28 53.0 -09 52 08 ;IR   ;OC?  ;    5.00;      ;       ;                                                       ;
Camargo 172            ;Mon  ;06 28 00.0 -10 03 43 ;IR   ;OC?  ;   10.00;      ;       ;                                                       ;
Camargo 173            ;Mon  ;07 00 26.0 -06 26 02 ;Op   ;OC?  ;    4.20;      ;       ;                                                       ;
Camargo 174            ;Mon  ;07 08 27.0 -05 52 40 ;Op   ;OC?  ;    4.60;      ;       ;                                                       ;
Camargo 174 B          ;Mon  ;07 08 10.8 -05 52 42 ;Op   ;OC?  ;    4.40;      ;       ;                                                       ;
Camargo 175            ;Mon  ;06 59 10.0 -07 06 31 ;Op   ;OC?  ;    8.00;      ;       ;                                                       ;
Camargo 176            ;Mon  ;07 03 33.0 -06 40 30 ;Op   ;OC?  ;    4.50;      ;       ;                                                       ;
Camargo 177            ;Mon  ;07 11 19.0 -05 43 49 ;Op   ;OC?  ;    3.60;      ;       ;                                                       ;
Camargo 182            ;Mon  ;07 07 08.0 -08 30 16 ;Op   ;OC?  ;    8.00;      ;       ;                                                       ;
Camargo 183            ;Mon  ;06 57 35.0 -09 52 41 ;IR   ;OC?  ;    3.00;      ;       ;                                                       ;
Camargo 184            ;Mon  ;07 08 28.0 -08 30 00 ;Op   ;OC?  ;    4.20;      ;       ;                                                       ;
Camargo 185            ;Mon  ;07 08 44.0 -08 30 20 ;Op   ;OC?  ;    3.00;      ;       ;                                                       ;
Camargo 188            ;Mon  ;07 09 40.0 -08 55 59 ;Op   ;OC?  ;    3.60;      ;       ;                                                       ;
Camargo 189            ;Mon  ;06 55 32.0 -10 44 59 ;IR   ;OC?  ;    1.50;      ;       ;                                                       ;
Camargo 192            ;Mon  ;06 57 34.0 -10 42 00 ;IR   ;OC?  ;    7.00;      ;       ;                                                       ;
Camargo 193            ;Mon  ;06 58 56.0 -10 34 46 ;Op   ;OC?  ;    2.80;      ;       ;                                                       ;
Camargo 194            ;Mon  ;07 09 46.0 -09 14 50 ;Op   ;OC?  ;    4.60;      ;       ;                                                       ;
Camargo 195            ;Mon  ;07 07 25.0 -09 46 57 ;IR   ;OC?  ;    5.00;      ;       ;                                                       ;
Camargo 198            ;Mon  ;07 04 15.0 -10 16 57 ;IR   ;OC?  ;    4.50;      ;       ;                                                       ;
Camargo 200            ;Mon  ;07 04 26.8 -10 29 08 ;IR   ;OC?  ;    4.00;      ;       ;                                                       ;
Camargo 201            ;Mon  ;07 03 20.0 -10 35 20 ;IR   ;OC?  ;    2.00;      ;       ;                                                       ;
Camargo 212            ;Pup  ;08 23 20.0 -40 39 58 ;IR   ;OC?  ;    5.00;      ;       ;                                                       ;
Camargo 215            ;Vel  ;08 27 32.0 -40 20 04 ;Op   ;OC?  ;    6.00;      ;       ;                                                       ;
Camargo 216            ;Pup  ;08 24 30.0 -40 45 23 ;Op   ;OC?  ;    5.00;      ;       ;                                                       ;
Camargo 22             ;Aur  ;05 34 21.0 +36 04 14 ;Op   ;OC?  ;    4.00;      ;       ;TC 0534+3604, GSC 2416-377 Grp                         ;
Camargo 223            ;Vel  ;08 28 38.0 -40 36 33 ;Op   ;OC?  ;    5.00;      ;       ;                                                       ;
Camargo 226            ;Vel  ;08 30 36.0 -40 51 38 ;IR   ;OC?  ;    6.00;      ;       ;                                                       ;
Camargo 227            ;Vel  ;08 30 11.0 -40 55 50 ;IR   ;OC?  ;    5.00;      ;       ;                                                       ;
Camargo 228            ;Vel  ;08 28 25.0 -41 10 08 ;IR   ;OC?  ;    5.00;      ;       ;                                                       ;
Camargo 231            ;Vel  ;08 29 25.0 -41 14 01 ;Op   ;OC?  ;    5.00;      ;       ;                                                       ;In Majaess 107
Camargo 235            ;Vel  ;08 29 38.0 -41 24 56 ;Op   ;OC?  ;    2.00;      ;       ;                                                       ;Far OC?, also in 2MASS
Camargo 236            ;Vel  ;08 30 03.5 -41 25 29 ;Op   ;OC   ;   86.76;  4348;   8.93;                                                       ;
Camargo 237            ;Vel  ;08 30 14.0 -41 32 45 ;Op   ;OC?  ;    8.00;      ;       ;                                                       ;
Camargo 242            ;Vel  ;08 42 36.0 -40 53 23 ;IR   ;OC?  ;    5.00;      ;       ;                                                       ;
Camargo 245            ;Vel  ;08 25 16.0 -43 26 30 ;IR   ;OC?  ;    6.00;      ;       ;                                                       ;
Camargo 248            ;Vel  ;08 26 45.0 -43 32 07 ;Op   ;OC?  ;    2.20;      ;       ;                                                       ;
Camargo 25             ;Aur  ;05 22 54.0 +33 31 07 ;Op   ;OC?  ;    4.00;      ;       ;                                                       ;
Camargo 251            ;Vel  ;08 41 59.0 -41 38 18 ;IR   ;OC?  ;    8.00;      ;       ;                                                       ;
Camargo 253            ;Vel  ;08 29 59.0 -43 24 45 ;IR   ;OC?  ;    5.00;      ;       ;                                                       ;
Camargo 255            ;Vel  ;08 30 17.0 -43 24 38 ;IR   ;OC?  ;    3.00;      ;       ;                                                       ;
Camargo 259            ;Vel  ;08 28 29.0 -44 38 54 ;IR   ;OC?  ;    6.00;      ;       ;                                                       ;
Camargo 262            ;Vel  ;08 46 27.0 -43 42 48 ;IR   ;OC?  ;    8.00;      ;       ;                                                       ;
Camargo 264            ;Vel  ;08 53 44.0 -43 50 33 ;Op   ;OC?  ;   14.00;      ;       ;                                                       ;
Camargo 265            ;Vel  ;08 54 07.0 -43 47 11 ;Op   ;OC?  ;    5.60;      ;       ;                                                       ;
Camargo 266            ;Vel  ;08 53 46.0 -44 23 47 ;IR   ;OC?  ;    6.00;      ;       ;                                                       ;
Camargo 267            ;Vel  ;09 00 18.0 -44 06 08 ;IR   ;OC?  ;    8.00;      ;       ;                                                       ;
Camargo 268            ;Vel  ;08 59 47.0 -44 24 24 ;IR   ;OC?  ;   10.00;      ;       ;                                                       ;
Camargo 269            ;Vel  ;08 59 39.0 -44 36 39 ;IR   ;OC?  ;    7.00;      ;       ;                                                       ;
Camargo 272            ;Vel  ;09 00 50.0 -44 40 00 ;IR   ;OC?  ;    6.00;      ;       ;                                                       ;
Camargo 278            ;Vel  ;09 01 00.0 -44 56 55 ;IR   ;OC?  ;    7.00;      ;       ;                                                       ;
Camargo 279            ;Vel  ;09 01 41.0 -44 53 52 ;IR   ;OC?  ;    6.00;      ;       ;                                                       ;
Camargo 280            ;Vel  ;09 02 09.0 -44 49 59 ;IR   ;OC?  ;    5.00;      ;       ;                                                       ;
Camargo 281            ;Vel  ;09 00 57.0 -45 08 03 ;IR   ;OC?  ;    7.00;      ;       ;                                                       ;
Camargo 284            ;Vel  ;09 02 29.0 -45 12 35 ;Op   ;OC?  ;   14.00;      ;       ;                                                       ;
Camargo 286            ;Vel  ;09 11 21.0 -45 31 48 ;IR   ;OC?  ;    5.00;      ;       ;                                                       ;
Camargo 288            ;Vel  ;09 14 39.0 -45 35 01 ;Op   ;OC?  ;    6.00;      ;       ;                                                       ;
Camargo 290            ;Vel  ;09 07 19.0 -47 12 52 ;IR   ;OC?  ;    7.00;      ;       ;                                                       ;
Camargo 291            ;Vel  ;09 15 14.0 -46 42 57 ;Op   ;OC?  ;    6.00;      ;       ;                                                       ;
Camargo 292            ;Vel  ;09 14 28.0 -47 24 01 ;IR   ;OC?  ;    5.00;      ;       ;                                                       ;
Camargo 294            ;Vel  ;09 14 51.0 -47 35 21 ;IR   ;OC?  ;    6.00;      ;       ;                                                       ;
Camargo 295            ;Vel  ;09 14 50.0 -47 41 40 ;IR   ;OC?  ;    2.00;      ;       ;                                                       ;
Camargo 296            ;Vel  ;09 16 26.0 -47 27 20 ;Op   ;OC?  ;    4.20;      ;       ;                                                       ;
Camargo 297            ;Vel  ;09 15 34.0 -47 43 39 ;IR   ;OC?  ;    6.00;      ;       ;                                                       ;
Camargo 299            ;Vel  ;09 17 22.0 -47 45 09 ;IR   ;OC?  ;    6.00;      ;       ;                                                       ;
Camargo 300            ;Vel  ;09 07 28.0 -49 22 01 ;IR   ;OC?  ;    8.00;      ;       ;                                                       ;
Camargo 304            ;Vel  ;09 08 35.0 -49 23 12 ;IR   ;OC?  ;    6.00;      ;       ;                                                       ;
Camargo 305            ;Vel  ;09 08 30.0 -49 29 18 ;IR   ;OC?  ;    5.00;      ;       ;                                                       ;
Camargo 306            ;Vel  ;09 17 20.0 -48 11 08 ;IR   ;OC?  ;    5.00;      ;       ;                                                       ;
Camargo 307            ;Vel  ;09 19 29.0 -47 51 59 ;IR   ;OC?  ;    6.00;      ;       ;                                                       ;
Camargo 308            ;Vel  ;09 16 20.0 -48 24 41 ;IR   ;OC?  ;   10.00;      ;       ;                                                       ;
Camargo 309            ;Vel  ;09 17 55.0 -48 10 03 ;IR   ;OC?  ;    6.00;      ;       ;                                                       ;
Camargo 310            ;Vel  ;09 09 27.0 -49 38 50 ;IR   ;OC?  ;    6.00;      ;       ;                                                       ;
Camargo 311            ;Vel  ;09 59 49.0 -56 21 56 ;IR   ;OC?  ;    6.00;      ;       ;Camargo 403                                            ;
Camargo 312            ;Vel  ;09 17 54.0 -48 27 34 ;IR   ;OC?  ;    5.00;      ;       ;                                                       ;
Camargo 313            ;Vel  ;09 10 30.0 -49 41 27 ;IR   ;OC?  ;    7.00;      ;       ;                                                       ;
Camargo 314            ;Vel  ;09 09 10.0 -49 53 03 ;IR   ;OC?  ;    4.00;      ;       ;                                                       ;
Camargo 316            ;Vel  ;09 18 57.0 -48 30 56 ;IR   ;OC?  ;    7.00;      ;       ;                                                       ;
Camargo 318            ;Vel  ;09 11 06.0 -49 47 34 ;Op   ;OC?  ;    8.00;      ;       ;                                                       ;
Camargo 322            ;Vel  ;09 09 03.0 -51 08 45 ;IR   ;OC?  ;    4.00;      ;       ;                                                       ;
Camargo 323            ;Vel  ;09 16 17.0 -50 46 29 ;IR   ;OC?  ;    5.00;      ;       ;                                                       ;
Camargo 324            ;Vel  ;09 10 08.0 -51 50 00 ;IR   ;OC?  ;    6.00;      ;       ;                                                       ;
Camargo 325            ;Vel  ;09 12 29.0 -51 33 10 ;IR   ;OC?  ;    7.00;      ;       ;                                                       ;
Camargo 328            ;Vel  ;09 15 29.0 -51 32 27 ;IR   ;OC?  ;    6.00;      ;       ;                                                       ;
Camargo 331            ;Vel  ;09 30 45.0 -52 33 10 ;Op   ;OC?  ;   12.00;      ;       ;                                                       ;Incl subcluster
Camargo 332            ;Vel  ;09 29 43.0 -52 41 11 ;Op   ;OC?  ;    7.00;      ;       ;                                                       ;
Camargo 336            ;Vel  ;09 26 58.0 -53 50 13 ;IR   ;OC?  ;    5.00;      ;       ;                                                       ;
Camargo 339 B          ;Vel  ;09 27 20.8 -53 59 05 ;Op   ;OC?  ;    3.20;      ;       ;                                                       ;
Camargo 342            ;Vel  ;09 29 46.0 -53 59 22 ;Op   ;OC?  ;    8.00;      ;       ;                                                       ;
Camargo 343            ;Vel  ;09 31 05.0 -53 50 23 ;IR   ;OC?  ;    7.00;      ;       ;                                                       ;
Camargo 344            ;Vel  ;09 32 43.0 -53 36 21 ;Op   ;OC?  ;    3.00;      ;       ;                                                       ;Incl subcluster
Camargo 345            ;Vel  ;09 34 51.0 -53 17 11 ;Op   ;OC?  ;    9.00;      ;       ;                                                       ;
Camargo 347            ;Vel  ;09 28 58.0 -54 42 56 ;Op   ;OC?  ;    4.40;      ;       ;                                                       ;Object is a loose core?
Camargo 348            ;Vel  ;09 30 29.0 -54 40 14 ;IR   ;OC?  ;    7.00;      ;       ;                                                       ;
Camargo 349            ;Vel  ;09 23 54.0 -55 44 35 ;Op   ;OC?  ;    8.00;      ;       ;                                                       ;
Camargo 35             ;Aur  ;05 32 53.0 +33 59 05 ;Op   ;OC?  ;    6.00;      ;       ;                                                       ;
Camargo 352            ;Vel  ;09 36 00.0 -54 04 35 ;Op   ;OC?  ;    8.00;      ;       ;                                                       ;
Camargo 354            ;Vel  ;09 25 10.0 -56 06 45 ;Op   ;OC?  ;    6.00;      ;       ;                                                       ;
Camargo 355            ;Vel  ;09 29 54.0 -55 33 19 ;Op   ;OC?  ;    9.00;      ;       ;                                                       ;
Camargo 357            ;Vel  ;09 37 42.0 -54 28 04 ;IR   ;OC?  ;    7.00;      ;       ;                                                       ;
Camargo 36             ;Aur  ;05 31 57.0 +33 42 02 ;Op   ;OC?  ;    6.00;      ;       ;                                                       ;
Camargo 368            ;Vel  ;09 49 54.0 -53 13 48 ;Op   ;OC?  ;   10.00;      ;       ;                                                       ;
Camargo 369            ;Vel  ;09 50 18.0 -53 17 38 ;Op   ;OC?  ;    2.20;      ;       ;                                                       ;
Camargo 37             ;Aur  ;05 31 14.0 +33 18 48 ;Op   ;OC?  ;    6.00;      ;       ;                                                       ;
Camargo 371            ;Vel  ;09 42 34.0 -54 51 48 ;Op   ;OC?  ;   12.00;      ;       ;                                                       ;
Camargo 373            ;Vel  ;09 47 09.0 -54 43 10 ;IR   ;OC?  ;    8.00;      ;       ;                                                       ;
Camargo 374            ;Vel  ;09 48 02.0 -54 57 18 ;IR   ;OC?  ;    8.00;      ;       ;                                                       ;
Camargo 375            ;Vel  ;09 50 56.0 -54 29 41 ;IR   ;OC?  ;    6.00;      ;       ;                                                       ;
Camargo 376            ;Vel  ;09 50 31.0 -54 48 25 ;IR   ;OC?  ;    6.00;      ;       ;                                                       ;
Camargo 377            ;Vel  ;09 49 49.0 -55 20 45 ;Op   ;OC?  ;   12.00;      ;       ;                                                       ;
Camargo 380            ;Vel  ;09 49 19.0 -55 59 45 ;IR   ;OC?  ;    3.00;      ;       ;                                                       ;
Camargo 381            ;Vel  ;09 52 39.0 -55 27 10 ;Op   ;OC?  ;   12.00;      ;       ;                                                       ;
Camargo 382            ;Vel  ;09 49 17.0 -56 02 27 ;Op   ;OC?  ;    2.00;      ;       ;                                                       ;
Camargo 384            ;Vel  ;09 49 44.0 -56 06 48 ;Op   ;OC?  ;    3.20;      ;       ;                                                       ;
Camargo 385            ;Vel  ;09 51 27.0 -55 54 12 ;Op   ;OC?  ;    5.00;      ;       ;                                                       ;
Camargo 389            ;Vel  ;09 53 57.0 -56 10 56 ;IR   ;OC?  ;    7.00;      ;       ;                                                       ;
Camargo 392            ;Vel  ;09 54 48.0 -56 41 15 ;Op   ;OC?  ;    2.00;      ;       ;                                                       ;
Camargo 394            ;Vel  ;09 58 12.0 -56 08 24 ;IR   ;OC?  ;    6.00;      ;       ;                                                       ;
Camargo 395            ;Vel  ;09 58 38.0 -56 08 48 ;IR   ;OC?  ;    6.00;      ;       ;                                                       ;
Camargo 399            ;Vel  ;09 58 12.0 -56 27 03 ;Op   ;OC?  ;    7.00;      ;       ;                                                       ;
Camargo 400            ;Vel  ;09 59 56.0 -56 09 03 ;IR   ;OC?  ;    6.00;      ;       ;                                                       ;
Camargo 401            ;Vel  ;09 58 58.0 -56 22 58 ;IR   ;OC?  ;    6.00;      ;       ;                                                       ;
Camargo 402            ;Vel  ;09 58 34.0 -56 34 13 ;IR   ;OC?  ;   10.00;      ;       ;                                                       ;
Camargo 407            ;Vel  ;09 58 29.0 -57 04 15 ;IR   ;OC?  ;    5.00;      ;       ;                                                       ;
Camargo 409            ;Vel  ;09 59 17.0 -56 58 39 ;IR   ;OC?  ;    4.00;      ;       ;                                                       ;
Camargo 412            ;Car  ;09 59 52.0 -57 09 29 ;IR   ;OC?  ;    6.00;      ;       ;                                                       ;
Camargo 419            ;Car  ;09 58 14.0 -58 06 15 ;IR   ;OC?  ;    8.00;      ;       ;                                                       ;
Camargo 421            ;Car  ;10 00 44.0 -57 42 48 ;IR   ;OC?  ;    6.00;      ;       ;                                                       ;
Camargo 422            ;Vel  ;10 05 05.0 -56 57 02 ;IR   ;OC?  ;    6.00;      ;       ;                                                       ;
Camargo 423            ;Vel  ;10 05 46.0 -57 00 16 ;IR   ;OC?  ;    6.00;      ;       ;                                                       ;
Camargo 424            ;Car  ;10 03 37.0 -57 29 24 ;IR   ;OC?  ;    2.00;      ;       ;                                                       ;
Camargo 428            ;Car  ;10 05 32.0 -57 19 48 ;IR   ;OC?  ;    6.00;      ;       ;                                                       ;
Camargo 429            ;Car  ;10 04 07.0 -57 37 50 ;IR   ;OC?  ;    8.00;      ;       ;                                                       ;
Camargo 430            ;Car  ;10 05 48.0 -57 24 21 ;Op   ;OC?  ;    2.20;      ;       ;                                                       ;
Camargo 433            ;Car  ;10 05 47.0 -57 35 51 ;IR   ;OC?  ;    6.00;      ;       ;                                                       ;
Camargo 436            ;Car  ;10 06 07.0 -58 08 11 ;Op   ;OC?  ;    6.00;      ;       ;                                                       ;
Camargo 45             ;Ori  ;06 11 23.0 +20 54 19 ;Op   ;OC?  ;    8.00;      ;       ;                                                       ;
Camargo 455            ;Sgr  ;17 47 13.0 -28 31 17 ;IR   ;OC?  ;    1.00;      ;       ;                                                       ;
Camargo 459            ;Sgr  ;17 48 10.0 -27 43 30 ;IR   ;OC   ;    1.50;      ;       ;Bica 23                                                ;
Camargo 460            ;Sgr  ;17 56 14.0 -28 33 33 ;IR   ;OC?  ;    7.00;      ;       ;                                                       ;
Camargo 461            ;Sgr  ;17 59 06.0 -28 49 08 ;IR   ;OC?  ;    2.00;      ;       ;                                                       ;Incl bright dusty star
Camargo 462            ;Sgr  ;17 48 41.0 -27 26 02 ;IR   ;OC?  ;    5.00;      ;       ;                                                       ;
Camargo 466            ;Sgr  ;17 48 35.0 -26 30 02 ;IR   ;OC?  ;    7.00;      ;       ;                                                       ;
Camargo 467            ;Sgr  ;17 53 41.0 -26 06 12 ;IR   ;OC?  ;    1.50;      ;       ;                                                       ;
Camargo 468            ;Sgr  ;17 54 43.0 -26 09 49 ;IR   ;OC?  ;    5.00;      ;       ;                                                       ;
Camargo 469            ;Sgr  ;17 54 20.0 -25 49 29 ;IR   ;OC?  ;    1.00;      ;       ;                                                       ;Bright red star in center, dust window?
Camargo 47             ;Ori  ;06 11 46.0 +20 39 22 ;IR   ;OC?  ;    7.00;      ;       ;                                                       ;
Camargo 471            ;Sgr  ;17 58 34.0 -24 18 36 ;IR   ;OC?  ;    6.00;      ;       ;                                                       ;Core, impressive
Camargo 472            ;Sgr  ;17 57 37.0 -23 40 03 ;IR   ;OC?  ;    7.00;      ;       ;                                                       ;Impressive
Camargo 475            ;Sgr  ;18 00 49.0 -23 20 22 ;IR   ;OC?  ;    4.00;      ;       ;                                                       ;Deeply embedded
Camargo 477            ;Sgr  ;18 02 27.0 -22 10 08 ;IR   ;OC?  ;    7.00;      ;       ;                                                       ;Extended core
Camargo 49             ;Ori  ;06 11 38.0 +20 27 23 ;IR   ;OC?  ;    7.00;      ;       ;                                                       ;
Camargo 496            ;Sge  ;19 30 14.0 +17 39 07 ;IR   ;EC?  ;    4.00;  5000;       ;                                                       ;Protocluster? in dust cloud
Camargo 499            ;Sge  ;19 28 45.0 +17 53 19 ;Op   ;OC?  ;    2.00;  1430;       ;                                                       ;Dist uncertain: based on only 4*
Camargo 50             ;Ori  ;06 14 15.0 +20 45 20 ;Op   ;OC?  ;    8.00;      ;       ;                                                       ;
Camargo 501            ;Sge  ;19 29 04.0 +18 01 13 ;IR   ;EC   ;    5.00;  9700;       ;                                                       ;Impressive, stellar dusty core, in pair
Camargo 504            ;Sge  ;19 28 17.0 +18 27 33 ;IR   ;EC   ;    2.40;  5000;       ;                                                       ;
Camargo 505            ;Sge  ;19 30 31.0 +18 21 08 ;IR   ;EC?  ;    1.80;  1150;       ;                                                       ;Dist uncertain: based on only 4*, procluster? edge of large bubble
Camargo 507            ;Sge  ;19 33 08.0 +18 19 55 ;IR   ;OC   ;    7.00;  3300;       ;                                                       ;Little dust, impressive
Camargo 51             ;Ori  ;06 14 17.0 +20 37 33 ;IR   ;OC?  ;   10.00;      ;       ;                                                       ;
Camargo 516            ;Vul  ;19 34 55.0 +20 52 56 ;IR   ;OC   ;    3.00;  2510;       ;                                                       ;Incl IR Dark Cloud
Camargo 531            ;Vul  ;19 34 37.0 +23 49 47 ;Op   ;OC?  ;    0.90;  3600;       ;                                                       ;Dubious
Camargo 537            ;Vul  ;19 38 17.3 +23 43 24 ;Op   ;OC   ;   23.80;  4324;  10.05;TC 1938+2343, FF 1710                                  ;Incl substructure
Camargo 545            ;Vul  ;19 43 29.0 +23 40 06 ;IR   ;EC   ;    1.00;  2400;       ;                                                       ;Poss two small embedded clusters
Camargo 563            ;Vul  ;19 49 26.0 +24 21 14 ;IR   ;EC   ;    0.80;  8000;       ;                                                       ;Shock
Camargo 570            ;Vul  ;19 49 12.2 +25 40 11 ;IR   ;EC   ;    0.60;  3000;       ;                                                       ;
Camargo 58             ;Ori  ;06 19 36.0 +15 21 21 ;IR   ;OC?  ;    7.00;      ;       ;                                                       ;
Camargo 584            ;Vul  ;19 55 30.0 +28 23 29 ;IR   ;OC   ;   11.00;  2920;       ;                                                       ;Sequential star formation: bubble to the E and W?
Camargo 59             ;Ori  ;06 08 04.0 +13 43 55 ;Op   ;OC?  ;    7.00;      ;       ;Elosser 2                                              ;
Camargo 591            ;Cyg  ;19 51 47.4 +29 29 11 ;Op   ;OC?  ;    1.80;      ;       ;                                                       ;Interesting
Camargo 599            ;Cyg  ;19 56 24.0 +29 53 35 ;IR   ;OC?  ;    6.00;      ;       ;                                                       ;Dusty core, impressive
Camargo 60             ;Ori  ;06 11 29.0 +14 05 09 ;IR   ;OC?  ;    4.00;      ;       ;                                                       ;
Camargo 608            ;Cyg  ;19 58 20.0 +31 20 11 ;IR   ;OC?  ;    4.00;      ;       ;                                                       ;Impressive, in pair
Camargo 613            ;Cyg  ;19 58 03.0 +31 44 06 ;IR   ;OC?  ;    7.00;      ;       ;                                                       ;
Camargo 617            ;Cyg  ;20 00 45.0 +33 06 03 ;IR   ;OC?  ;    4.00;      ;       ;                                                       ;In IR DCld, Optical Cl superimposed?
Camargo 618            ;Cyg  ;20 00 23.0 +33 16 01 ;Op   ;OC?  ;    3.40;      ;       ;                                                       ;
Camargo 619            ;Cyg  ;19 59 57.0 +33 29 41 ;Op   ;OC?  ;    1.40;      ;       ;                                                       ;
Camargo 622            ;Cyg  ;20 01 46.0 +33 32 48 ;IR   ;OC?  ;    2.50;      ;       ;                                                       ;Pair with NGC 6857, main in group
Camargo 624            ;Cyg  ;20 04 12.0 +33 42 53 ;IR   ;OC?  ;    2.00;      ;       ;                                                       ;2nd gen, in pair
Camargo 626            ;Cyg  ;20 07 04.0 +34 44 37 ;IR   ;OC?  ;    6.00;      ;       ;                                                       ;
Camargo 627            ;Cyg  ;20 08 04.0 +34 40 51 ;IR   ;OC?  ;    4.00;      ;       ;                                                       ;Incl subsctructure?
Camargo 630            ;Cyg  ;20 09 36.0 +34 45 05 ;IR   ;OC?  ;    3.00;      ;       ;                                                       ;Shocks
Camargo 631            ;Cyg  ;20 04 11.0 +35 41 03 ;IR   ;OC?  ;    6.00;      ;       ;                                                       ;
Camargo 636            ;Cep  ;23 35 24.0 +64 54 31 ;IR   ;OC?  ;    3.00;      ;       ;                                                       ;In pair
Camargo 639            ;Cep  ;23 34 48.0 +65 40 08 ;IR   ;OC?  ;    7.00;      ;       ;                                                       ;
Camargo 64             ;Ori  ;06 08 49.0 +13 09 38 ;IR   ;OC?  ;    6.00;      ;       ;                                                       ;
Camargo 641            ;Cas  ;00 07 24.0 +62 41 57 ;Op   ;OC?  ;    4.00;      ;       ;                                                       ;Interesting core
Camargo 643            ;Cas  ;00 13 11.0 +61 32 34 ;Op   ;OC?  ;    7.00;      ;       ;                                                       ;Prominent
Camargo 644            ;Cas  ;00 14 26.0 +62 09 36 ;IR   ;OC?  ;    7.00;      ;       ;                                                       ;Prominent
Camargo 646            ;Cas  ;00 17 52.0 +62 43 48 ;Op   ;OC?  ;   10.00;      ;       ;                                                       ;Prominent stellar core
Camargo 647            ;Cas  ;00 19 45.0 +63 43 00 ;IR   ;OC?  ;    6.00;      ;       ;                                                       ;Prominent dusty core with shell
Camargo 648            ;Cas  ;00 20 22.0 +63 26 14 ;Op   ;OC?  ;    2.40;      ;       ;                                                       ;
Camargo 650            ;Cas  ;00 22 48.0 +64 28 55 ;Op   ;OC?  ;    3.00;      ;       ;                                                       ;Extended core
Camargo 651            ;Cas  ;00 22 15.0 +65 07 21 ;Op   ;OC?  ;    6.20;      ;       ;                                                       ;Prominent
Camargo 652            ;Cas  ;00 25 52.0 +62 53 21 ;IR   ;OC?  ;    7.00;      ;       ;                                                       ;
Camargo 653            ;Cas  ;00 25 23.0 +64 14 15 ;Op   ;OC?  ;    5.40;      ;       ;                                                       ;
Camargo 656            ;Cas  ;00 27 15.0 +64 42 31 ;IR   ;OC?  ;    6.00;      ;       ;                                                       ;Dusty core
Camargo 657            ;Cas  ;00 28 44.0 +62 51 01 ;Op   ;OC?  ;    1.60;      ;       ;                                                       ;In dust bubble
Camargo 658            ;Cas  ;00 29 34.0 +62 50 09 ;Op   ;OC?  ;    3.60;      ;       ;                                                       ;
Camargo 659            ;Cas  ;00 27 39.0 +65 30 30 ;IR   ;OC?  ;    7.00;      ;       ;                                                       ;In dust filament
Camargo 660            ;Cas  ;00 29 02.0 +65 27 49 ;IR   ;OC?  ;    5.00;      ;       ;                                                       ;In dust filament
Camargo 663            ;Cas  ;00 32 49.0 +64 01 18 ;IR   ;OC?  ;    2.00;      ;       ;                                                       ;In dust bubble
Camargo 665            ;Cas  ;00 32 17.0 +65 27 12 ;IR   ;OC?  ;    5.00;      ;       ;                                                       ;
Camargo 666            ;Cas  ;00 35 06.0 +63 31 28 ;IR   ;OC?  ;    6.00;      ;       ;                                                       ;
Camargo 667            ;Cas  ;00 37 31.0 +63 43 25 ;IR   ;OC?  ;    4.00;      ;       ;                                                       ;Dusty core
Camargo 669            ;Cas  ;00 38 18.0 +63 06 03 ;IR   ;OC?  ;    6.00;      ;       ;                                                       ;Dusty stellar core
Camargo 670            ;Cas  ;00 38 05.0 +63 39 45 ;Op   ;OC?  ;    3.00;      ;       ;                                                       ;
Camargo 673            ;Cas  ;00 51 14.0 +64 38 05 ;IR   ;OC?  ;    5.00;      ;       ;                                                       ;Dusty core
Camargo 674            ;Cas  ;01 00 56.0 +62 49 29 ;IR   ;OC?  ;    6.00;      ;       ;                                                       ;Impressive
Camargo 675            ;Cas  ;01 03 03.0 +62 59 22 ;IR   ;OC?  ;    5.00;      ;       ;                                                       ;Dusty core
Camargo 676            ;Cas  ;01 06 18.0 +65 19 02 ;Op   ;OC?  ;    2.60;      ;       ;                                                       ;Impressive
Camargo 677            ;Cas  ;01 07 01.0 +65 20 51 ;IR   ;OC?  ;    3.00;      ;       ;                                                       ;In group, subcluster
Camargo 679            ;Cas  ;01 07 41.0 +65 19 59 ;IR   ;OC?  ;    1.00;      ;       ;                                                       ;Dusty, in group, subcluster
Camargo 680            ;Cas  ;01 07 50.0 +65 21 23 ;IR   ;OC?  ;    5.00;      ;       ;                                                       ;In group, main cluster, dusty core
Camargo 682            ;Cas  ;01 08 39.0 +63 15 14 ;Op   ;OC?  ;    6.00;      ;       ;                                                       ;
Camargo 683            ;Cas  ;01 08 32.0 +63 07 56 ;IR   ;OC?  ;    1.50;      ;       ;                                                       ;In Majaess 22
Camargo 684            ;Cas  ;01 08 57.0 +62 51 08 ;IR   ;OC?  ;    5.00;      ;       ;                                                       ;At edge of a bubble, impressive
Camargo 688            ;Cas  ;01 10 41.0 +63 41 06 ;IR   ;OC?  ;    6.00;      ;       ;                                                       ;At edge of dust bubble
